document_id,texte,classe,classe_id,gabarit_id,partition
DOC-0-0-0,Je souhaite des informations sur ma demande fictive.,information,0,0-0,train
DOC-0-0-1,Je souhaite des informations sur la référence simulée.,information,0,0-0,train
DOC-0-0-2,Je souhaite des informations sur mon dossier d’exercice.,information,0,0-0,train
DOC-0-0-3,Je souhaite des informations sur le document de démonstration.,information,0,0-0,train
DOC-0-0-4,Je souhaite des informations sur la formalité pédagogique.,information,0,0-0,train
DOC-0-0-5,Je souhaite des informations sur mon espace fictif.,information,0,0-0,train
DOC-0-0-6,Je souhaite des informations sur la simulation numéro 12.,information,0,0-0,train
DOC-0-0-7,Je souhaite des informations sur la demande de test.,information,0,0-0,train
DOC-0-1-0,Pouvez-vous expliquer les conditions concernant ma demande fictive ?,information,0,0-1,train
DOC-0-1-1,Pouvez-vous expliquer les conditions concernant la référence simulée ?,information,0,0-1,train
DOC-0-1-2,Pouvez-vous expliquer les conditions concernant mon dossier d’exercice ?,information,0,0-1,train
DOC-0-1-3,Pouvez-vous expliquer les conditions concernant le document de démonstration ?,information,0,0-1,train
DOC-0-1-4,Pouvez-vous expliquer les conditions concernant la formalité pédagogique ?,information,0,0-1,train
DOC-0-1-5,Pouvez-vous expliquer les conditions concernant mon espace fictif ?,information,0,0-1,train
DOC-0-1-6,Pouvez-vous expliquer les conditions concernant la simulation numéro 12 ?,information,0,0-1,train
DOC-0-1-7,Pouvez-vous expliquer les conditions concernant la demande de test ?,information,0,0-1,train
DOC-0-2-0,Où trouver le guide relatif à ma demande fictive ?,information,0,0-2,train
DOC-0-2-1,Où trouver le guide relatif à la référence simulée ?,information,0,0-2,train
DOC-0-2-2,Où trouver le guide relatif à mon dossier d’exercice ?,information,0,0-2,train
DOC-0-2-3,Où trouver le guide relatif à le document de démonstration ?,information,0,0-2,train
DOC-0-2-4,Où trouver le guide relatif à la formalité pédagogique ?,information,0,0-2,train
DOC-0-2-5,Où trouver le guide relatif à mon espace fictif ?,information,0,0-2,train
DOC-0-2-6,Où trouver le guide relatif à la simulation numéro 12 ?,information,0,0-2,train
DOC-0-2-7,Où trouver le guide relatif à la demande de test ?,information,0,0-2,train
DOC-0-3-0,Je cherche la documentation pour ma demande fictive.,information,0,0-3,train
DOC-0-3-1,Je cherche la documentation pour la référence simulée.,information,0,0-3,train
DOC-0-3-2,Je cherche la documentation pour mon dossier d’exercice.,information,0,0-3,train
DOC-0-3-3,Je cherche la documentation pour le document de démonstration.,information,0,0-3,train
DOC-0-3-4,Je cherche la documentation pour la formalité pédagogique.,information,0,0-3,train
DOC-0-3-5,Je cherche la documentation pour mon espace fictif.,information,0,0-3,train
DOC-0-3-6,Je cherche la documentation pour la simulation numéro 12.,information,0,0-3,train
DOC-0-3-7,Je cherche la documentation pour la demande de test.,information,0,0-3,train
DOC-0-4-0,Merci de préciser la procédure de ma demande fictive.,information,0,0-4,train
DOC-0-4-1,Merci de préciser la procédure de la référence simulée.,information,0,0-4,train
DOC-0-4-2,Merci de préciser la procédure de mon dossier d’exercice.,information,0,0-4,train
DOC-0-4-3,Merci de préciser la procédure de le document de démonstration.,information,0,0-4,train
DOC-0-4-4,Merci de préciser la procédure de la formalité pédagogique.,information,0,0-4,train
DOC-0-4-5,Merci de préciser la procédure de mon espace fictif.,information,0,0-4,train
DOC-0-4-6,Merci de préciser la procédure de la simulation numéro 12.,information,0,0-4,train
DOC-0-4-7,Merci de préciser la procédure de la demande de test.,information,0,0-4,train
DOC-0-5-0,Quelle démarche suivre au sujet de ma demande fictive ?,information,0,0-5,train
DOC-0-5-1,Quelle démarche suivre au sujet de la référence simulée ?,information,0,0-5,train
DOC-0-5-2,Quelle démarche suivre au sujet de mon dossier d’exercice ?,information,0,0-5,train
DOC-0-5-3,Quelle démarche suivre au sujet de le document de démonstration ?,information,0,0-5,train
DOC-0-5-4,Quelle démarche suivre au sujet de la formalité pédagogique ?,information,0,0-5,train
DOC-0-5-5,Quelle démarche suivre au sujet de mon espace fictif ?,information,0,0-5,train
DOC-0-5-6,Quelle démarche suivre au sujet de la simulation numéro 12 ?,information,0,0-5,train
DOC-0-5-7,Quelle démarche suivre au sujet de la demande de test ?,information,0,0-5,train
DOC-0-6-0,Pourriez-vous renseigner les pièces nécessaires pour ma demande fictive ?,information,0,0-6,train
DOC-0-6-1,Pourriez-vous renseigner les pièces nécessaires pour la référence simulée ?,information,0,0-6,train
DOC-0-6-2,Pourriez-vous renseigner les pièces nécessaires pour mon dossier d’exercice ?,information,0,0-6,train
DOC-0-6-3,Pourriez-vous renseigner les pièces nécessaires pour le document de démonstration ?,information,0,0-6,train
DOC-0-6-4,Pourriez-vous renseigner les pièces nécessaires pour la formalité pédagogique ?,information,0,0-6,train
DOC-0-6-5,Pourriez-vous renseigner les pièces nécessaires pour mon espace fictif ?,information,0,0-6,train
DOC-0-6-6,Pourriez-vous renseigner les pièces nécessaires pour la simulation numéro 12 ?,information,0,0-6,train
DOC-0-6-7,Pourriez-vous renseigner les pièces nécessaires pour la demande de test ?,information,0,0-6,train
DOC-0-7-0,Je voudrais comprendre les règles de ma demande fictive.,information,0,0-7,train
DOC-0-7-1,Je voudrais comprendre les règles de la référence simulée.,information,0,0-7,train
DOC-0-7-2,Je voudrais comprendre les règles de mon dossier d’exercice.,information,0,0-7,train
DOC-0-7-3,Je voudrais comprendre les règles de le document de démonstration.,information,0,0-7,train
DOC-0-7-4,Je voudrais comprendre les règles de la formalité pédagogique.,information,0,0-7,train
DOC-0-7-5,Je voudrais comprendre les règles de mon espace fictif.,information,0,0-7,train
DOC-0-7-6,Je voudrais comprendre les règles de la simulation numéro 12.,information,0,0-7,train
DOC-0-7-7,Je voudrais comprendre les règles de la demande de test.,information,0,0-7,train
DOC-0-8-0,Comment obtenir une notice sur ma demande fictive ?,information,0,0-8,validation
DOC-0-8-1,Comment obtenir une notice sur la référence simulée ?,information,0,0-8,validation
DOC-0-8-2,Comment obtenir une notice sur mon dossier d’exercice ?,information,0,0-8,validation
DOC-0-8-3,Comment obtenir une notice sur le document de démonstration ?,information,0,0-8,validation
DOC-0-8-4,Comment obtenir une notice sur la formalité pédagogique ?,information,0,0-8,validation
DOC-0-8-5,Comment obtenir une notice sur mon espace fictif ?,information,0,0-8,validation
DOC-0-8-6,Comment obtenir une notice sur la simulation numéro 12 ?,information,0,0-8,validation
DOC-0-8-7,Comment obtenir une notice sur la demande de test ?,information,0,0-8,validation
DOC-0-9-0,Besoin de précisions générales pour ma demande fictive.,information,0,0-9,validation
DOC-0-9-1,Besoin de précisions générales pour la référence simulée.,information,0,0-9,validation
DOC-0-9-2,Besoin de précisions générales pour mon dossier d’exercice.,information,0,0-9,validation
DOC-0-9-3,Besoin de précisions générales pour le document de démonstration.,information,0,0-9,validation
DOC-0-9-4,Besoin de précisions générales pour la formalité pédagogique.,information,0,0-9,validation
DOC-0-9-5,Besoin de précisions générales pour mon espace fictif.,information,0,0-9,validation
DOC-0-9-6,Besoin de précisions générales pour la simulation numéro 12.,information,0,0-9,validation
DOC-0-9-7,Besoin de précisions générales pour la demande de test.,information,0,0-9,validation
DOC-0-10-0,Merci de transmettre des renseignements sur ma demande fictive.,information,0,0-10,test
DOC-0-10-1,Merci de transmettre des renseignements sur la référence simulée.,information,0,0-10,test
DOC-0-10-2,Merci de transmettre des renseignements sur mon dossier d’exercice.,information,0,0-10,test
DOC-0-10-3,Merci de transmettre des renseignements sur le document de démonstration.,information,0,0-10,test
DOC-0-10-4,Merci de transmettre des renseignements sur la formalité pédagogique.,information,0,0-10,test
DOC-0-10-5,Merci de transmettre des renseignements sur mon espace fictif.,information,0,0-10,test
DOC-0-10-6,Merci de transmettre des renseignements sur la simulation numéro 12.,information,0,0-10,test
DOC-0-10-7,Merci de transmettre des renseignements sur la demande de test.,information,0,0-10,test
DOC-0-11-0,Je consulte les modalités relatives à ma demande fictive.,information,0,0-11,test
DOC-0-11-1,Je consulte les modalités relatives à la référence simulée.,information,0,0-11,test
DOC-0-11-2,Je consulte les modalités relatives à mon dossier d’exercice.,information,0,0-11,test
DOC-0-11-3,Je consulte les modalités relatives à le document de démonstration.,information,0,0-11,test
DOC-0-11-4,Je consulte les modalités relatives à la formalité pédagogique.,information,0,0-11,test
DOC-0-11-5,Je consulte les modalités relatives à mon espace fictif.,information,0,0-11,test
DOC-0-11-6,Je consulte les modalités relatives à la simulation numéro 12.,information,0,0-11,test
DOC-0-11-7,Je consulte les modalités relatives à la demande de test.,information,0,0-11,test
DOC-1-0-0,Je souhaite payer le montant de ma demande fictive.,paiement,1,1-0,train
DOC-1-0-1,Je souhaite payer le montant de la référence simulée.,paiement,1,1-0,train
DOC-1-0-2,Je souhaite payer le montant de mon dossier d’exercice.,paiement,1,1-0,train
DOC-1-0-3,Je souhaite payer le montant de le document de démonstration.,paiement,1,1-0,train
DOC-1-0-4,Je souhaite payer le montant de la formalité pédagogique.,paiement,1,1-0,train
DOC-1-0-5,Je souhaite payer le montant de mon espace fictif.,paiement,1,1-0,train
DOC-1-0-6,Je souhaite payer le montant de la simulation numéro 12.,paiement,1,1-0,train
DOC-1-0-7,Je souhaite payer le montant de la demande de test.,paiement,1,1-0,train
DOC-1-1-0,Comment effectuer le règlement de ma demande fictive ?,paiement,1,1-1,train
DOC-1-1-1,Comment effectuer le règlement de la référence simulée ?,paiement,1,1-1,train
DOC-1-1-2,Comment effectuer le règlement de mon dossier d’exercice ?,paiement,1,1-1,train
DOC-1-1-3,Comment effectuer le règlement de le document de démonstration ?,paiement,1,1-1,train
